id,name,price,quantity,category,ingredients,tags,image,flag
1,Anokha Achari,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Achari seasoning",Jain,anokha_achari.png,
2,Chaat Chaska,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Chat seasoning",Jain,chaat_chaska.png,
3,Cheese Pizza,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Tomato ketchup, Chilly flakes, Oregano, Mixed herbs, Chhedar cheese seasoning",Jain,cheese_pizza.png,
4,Garlicky Schezwan,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Red chilly, Ginger, Garlic, Schezwan seasoning",Non-Jain,garlicky_schezwan.png,
5,Indie Maggi,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Green chilly, Ginger, Turmeric, Maggi seasoning",Jain,indie_maggi.png,
6,Masala Munch,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Red chilly, Ginger, Turmeric, Masala munch seasoning",Jain,masala_munch.png,
7,Mazedar Manchurian,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Green chilly, Red chilly, Ginger, Garlic, ManchurianÂ seasoning",Non-Jain,mazedar_manchurian.png,
8,Pani Puri,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Mint leaves (phudina), Ginger, Green Chilly, Pani puri seasoning",Jain,pani_puri.png,
9,Peri Peri Nachos,25,50g,Mobile Khakhra,"Wheat flour, Makkai flour, Gram flour, Rice bran oil, Salt, Chilly flakes, Turmeric, Ajwain, Peri peri seasoning",Jain,peri_peri_nachos.png,
10,Tangy Tomato,25,50g,Mobile Khakhra,"Wheat flour, Rice bran oil, Salt, Green chilly, Red chilly, Ginger, Tomato seasoning",Jain,tangy_tomato.png,
11,Jeera,80,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Cumin seeds (Jeera)",Jain,bhakhri_jeera.png,
12,Methi,80,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Kasuri methi, Sesame seeds (Til), Cumin seeds (Jeera), Green chilly, Turmeric",Jain,bhakhri_methi.png,
13,Masala ,80,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Sesame seeds (Til), Cumin seeds (Jeera), Carom seeds (Ajwain), Red chilly, Turmeric",Jain,bhakhri_masala.png,
14,Bajri Methi,80,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Bajri flour, Kasuri methi, Sesame seeds (Til), Cumin seeds (Jeera), Green chilly",Jain,bhakhri_bajri_methi.png,
15,Kadipatta,80,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Sesame seeds (Til), Green chilly, Curry leaves (Kadipatta)",Jain,bhakhri_kadipatta.png,
16,Dahi Kothmir,100,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Kasuri methi, Sesame seeds (Til), Green chilly, Ginger, Curd (Dahi)",Jain,bhakhri_dahi_kothmir.png,
17,Kachori,100,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Salt, Gram flour (Besan), Sesame seeds (Til), Red chilly, Fennel seeds (Saunf), Coriander seeds, Garam Masala, Jaggery (Gud)",Jain,bhakhri_kachori.png,
18,Farali,100,200g,Bhakhri,"Rajgira flour, Samo flour, Moraiya Flour, Rice bran oil, Potato, Cumin seeds (Jeera), Green chilly, Ginger",Jain,bhakhri_farali.png,
19,Multigrain,100,200g,Bhakhri,"Oats, Nachni (Ragi) flour, Jowar flour, Makkai Flour, Bajri Flour, Mix Pulses, Rice bran oil, Salt, Cumin seeds (Jeera), Sesame seeds (Til), Green chilly, Ginger",Jain,bhakhri_multigrain.png,
20,Jaggery,100,200g,Bhakhri,"Wheat flour, Oats, Rice bran oil, Fennel seeds (Saunf), Jaggery (Gud)",Jain,bhakhri_jaggery.png,